advid,#_of_posOutcomes,SQ
25641562,3,1
25641569,4,0
25641571,0,0
25641583,0,0
25641590,0,1
25641597,0,0
25641603,3,0
25641621,0,0
25641627,0,0
25641629,0,1
25641639,0,0
25641660,0,0
25641668,0,0
25641686,7,1
25641692,0,0
25641711,0,0
25641713,0,0
25641717,2,1
25641729,0,1
25641737,1,1
25641748,0,0
25641757,0,1
25641786,5,1
25641792,0,1
25641793,0,0
25641796,1,0
25641799,0,1
25641808,0,1
25641814,0,1
25641815,0,0
25641817,1,0
25641827,0,1
25641831,0,0
25641832,0,1
25641838,0,0
25641843,3,1
25641849,11,1
25641852,1,1
25641864,0,1
25641867,0,0
25641869,14,1
25641872,0,0
25641873,0,0
25641879,1,0
25641882,4,0
25641883,0,0
25641889,0,0
25641891,0,0
25641896,5,0
25641897,2,1
25641899,17,0
25641910,0,0
25641925,0,1
25641933,0,0
25641941,2,1
25641948,2,1
25641951,0,1
25641952,0,1
25641956,0,1
25641963,2,0
25641965,0,1
25641969,0,0
25641974,0,1
25641977,6,0
25641982,0,1
25642001,1,0
25642007,0,0
25642011,0,1
25642033,1,1
25642034,1,1
25642036,1,0
25642038,0,0
25642043,2,1
25642054,1,1
25642056,16,1
25642059,0,1
25642092,0,1
25642100,21,1
25642102,0,0
25642114,0,1
25642115,0,1
25642131,3,0
25642132,5,0
25642140,1,0
25642163,0,1
25642166,0,0
25642194,1,0
25642198,0,1
25642206,0,1
25642223,0,0
25642235,8,1
25642239,0,0
25642241,8,1
25642273,0,0
25642287,23,1
25642294,0,1
25642301,0,1
25642309,0,0
25642317,0,1
25642324,0,0
25642334,6,0
25642338,10,0
25642343,1,0
25642357,0,0
25642371,0,1
25642375,2,1
25642386,0,0
25642398,0,1
25642407,0,1
25642413,0,0
25642425,0,1
25642426,0,0
25642429,9,1
25642458,1,0
25642463,1,1
25642479,36,0
25642484,13,1
25642495,1,0
25642502,0,1
25642506,4,1
25642518,0,0
25642519,0,0
25642526,0,0
25642529,0,0
25642531,1,1
25642545,0,1
25642551,0,0
25642562,0,0
25642577,3,1
25642580,0,0
25642592,0,0
25642620,116,1
25642622,18,0
25642625,0,0
25642636,0,0
25642637,0,0
25642644,6,0
25642647,3,0
25642654,0,0
25642670,0,0
25642690,0,1
25642700,0,1
25642702,0,1
25642707,0,0
25642723,1,1
25642732,2,1
25642742,0,1
25642746,0,0
25642754,0,0
25642755,0,0
25642759,0,1
25642772,0,1
25642776,2,1
25642782,0,0
25642784,3,0
25642789,0,0
25642810,0,1
25642812,1,0
25642823,1,1
25642828,0,0
25642836,0,0
25642839,0,0
25642860,2,1
25642872,0,0
25642877,1,1
25642891,0,0
25642897,0,1
25642903,0,0
25642919,0,0
25642925,8,0
25642929,1,0
25642939,1,1
25642951,0,1
25642953,1,0
25642959,0,0
25642961,5,1
25642962,0,0
25642965,11,1
25642975,0,0
25643001,0,1
25643007,108,0
25643010,0,1
25643014,0,1
25643015,0,1
25643019,1,1
25643020,1,0
25643024,11,0
25643025,0,1
25643030,0,0
25643040,27,0
25643047,0,0
25643053,10,0
25643069,0,1
25643076,1,0
25643077,0,1
25643080,6,0
25643083,0,0
25643089,1,0
25643090,12,0
25643091,0,0
25643102,0,1
25643106,0,1
25643109,3,0
25643116,1,1
25643121,0,1
25643124,3,0
25643130,5,0
25643151,2,0
25643161,0,0
25643164,22,1
25643174,0,1
25643197,4,0
25643209,1,1
25643210,2,0
25643216,0,0
25643223,0,1
25643231,0,1
25643257,0,1
25643270,0,0
25643277,7,1
25643287,0,0
25643290,0,1
25643292,4,1
25643306,45,0
25643310,0,1
25643320,0,1
25643323,1,0
25643340,0,1
25643345,22,1
25643373,0,0
25643375,0,1
25643384,0,1
25643391,0,0
25643400,0,0
25643415,0,0
25643422,1,0
25643439,0,0
25643461,14,0
25643477,1,1
25643505,0,0
25643512,0,1
25643527,0,1
25643534,0,0
25643538,0,1
25643551,0,1
25643553,8,0
25643555,3,1
25643571,1,1
25643574,0,1
25643585,6,0
25643588,1,1
25643595,0,1
25643607,3,1
25643629,2,0
25643663,2,1
25643674,1,0
25643678,8,0
25643699,1,1
25643708,0,1
25643716,2,1
25643720,0,0
25643725,3,0
25643731,1,0
25643740,0,1
25643754,9,1
25643768,0,1
25643769,0,0
25643776,0,0
25643783,0,0
25643786,5,0
25643789,0,1
25643796,0,0
25643804,0,0
25643806,0,1
25643811,2,0
25643812,0,1
25643815,30,0
25643818,3,0
25643826,1,1
25643832,0,1
25643841,0,0
25643845,0,1
25643846,9,1
25643856,3,0
25643860,2,0
25643865,0,1
25643866,0,1
25643870,0,1
25643874,0,1
25643886,0,1
25643892,0,1
25643895,0,0
25643906,0,0
25643913,0,0
25643926,0,1
25643966,0,0
25643975,1,0
25643977,0,1
25643983,11,1
25643995,1,1
25644003,0,1
25644010,0,0
25644011,0,0
25644021,0,1
25644050,0,1
25644056,0,1
25644082,1,1
25644085,0,1
25644090,4,1
25644097,11,1
25644102,1,0
25644104,1,0
25644109,0,1
25644118,0,1
25644146,9,1
25644157,10,1
25644163,0,1
25644166,3,0
25644168,3,1
25644173,0,0
25644188,20,1
25644195,0,0
25644212,24,1
25644230,0,0
25644247,0,1
25644252,0,0
25644259,0,1
25644261,1,0
25644268,7,0
25644272,2,0
25644275,3,0
25644278,1,1
25644287,0,1
25644306,8,1
25644316,0,1
25644321,1,1
25644325,5,1
25644371,0,0
25644386,1,1
25644387,0,1
25644389,0,0
25644415,2,0
25644439,0,0
25644452,8,1
25644458,1,1
25644461,19,1
25644467,0,0
25644475,0,1
25644480,0,1
25644482,0,0
25644503,3,1
25644508,0,1
25644522,0,1
25644523,14,1
25644540,0,0
25644554,2,1
25644556,0,0
25644569,0,1
25644571,1,1
25644578,0,0
25644582,0,0
25644602,0,0
25644605,0,0
25644616,7,0
25644617,0,1
25644625,4,1
25644637,0,0
25644638,0,0
25644639,28,0
25644650,0,0
25644654,0,0
25644669,5,1
25644675,0,0
25644689,10,1
25644693,2,1
25644695,0,1
25644696,17,0
25644698,0,0
25644707,8,0
25644721,0,1
25644731,2,1
25644752,25,1
25644761,1,0
25644763,0,1
25644766,0,1
25644789,0,1
25644793,0,0
25644797,0,1
25644798,0,0
25644802,0,1
25644817,3,0
25644826,1,0
25644842,0,0
25644843,0,0
25644871,10,1
25644889,1,1
25644908,3,1
25644919,5,0
25644934,23,0
25644938,0,0
25644958,0,0
25644962,1,1
25644967,1,1
25644971,0,0
25644972,8,0
25644985,0,0
25644990,0,0
25644993,2,0
25644999,0,0
25645005,11,0
25645010,3,0
25645018,4,0
25645032,0,1
25645045,0,1
25645062,0,0
25645066,0,1
25645068,10,0
25645074,1,1
25645118,5,1
25645132,5,1
25645169,1,0
25645188,0,1
25645206,0,1
25645210,0,0
25645217,1,0
25645221,0,1
25645234,1,0
25645239,0,1
25645258,18,0
25645267,0,1
25645292,4,1
25645303,0,0
25645336,0,1
25645355,0,0
25645375,0,1
25645384,1,0
25645390,10,0
25645392,1,1
25645402,0,1
25645410,1,0
25645412,0,0
25645419,0,1
25645422,0,0
25645442,0,1
25645477,0,1
25645482,0,0
25645488,0,1
25645491,1,1
25645527,0,0
25645538,0,1
25645542,0,1
25645544,0,0
25645545,4,0
25645549,0,1
25645562,0,1
25645586,4,0
25645590,10,0
25645631,3,0
25645650,0,1
25645651,1,1
25645660,0,1
25645682,0,1
25645695,0,1
25645696,1,0
25645700,11,0
25645715,5,1
25645720,0,0
25645723,5,0
25645737,0,0
25645744,4,0
25645759,0,1
25645766,0,1
25645776,1,0
25645777,20,0
25645783,0,0
25645812,10,1
25645814,0,1
25645836,6,0
25645837,0,0
25645867,1,1
25645876,8,0
25645884,1,1
25645893,0,1
25645896,2,1
25645901,2,0
25645906,4,1
25645909,0,0
25645915,0,1
25645923,3,1
25645951,0,0
25645957,0,1
25645968,0,0
25645969,8,1
25645970,0,0
25645974,17,1
25645975,4,1
25645978,0,1
25645986,0,0
25645995,1,1
25646001,0,0
25646025,2,0
25646028,1,0
25646040,0,1
25646045,1,0
25646049,10,1
25646059,1,0
25646065,0,1
25646077,2,0
25646082,0,0
25646085,0,0
25646096,0,1
25646124,2,1
25646129,0,1
25646140,8,0
25646183,0,1
25646200,12,0
25646202,6,0
25646242,2,1
25646259,0,1
25646262,1,0
25646280,8,1
25646284,0,1
25646301,0,1
25646305,0,1
25646315,18,1
25646321,0,1
25646324,0,0
25646327,4,0
25646335,0,0
25646346,9,0
25646353,0,1
25646358,3,1
25646390,0,0
25646393,0,1
25646398,0,0
25646406,4,1
25646412,0,1
25646414,3,1
25646432,57,1
25646448,3,1
25646474,20,0
25646496,2,0
25646506,3,0
25646507,17,1
